Phase_a,Phase_b,Phase_c
-1.08,0.32,0.6
-1.08,0.28,0.64
-1.08,0.24,0.68
-1.08,0.24,0.72
-1.12,0.2,0.76
-1.12,0.16,0.76
-1.04,0.12,0.8
-1.04,0.08,0.8
-1.04,0.04,0.84
-1.04,0,0.84
-1,-0.04,0.88
-0.96,-0.04,0.88
-0.96,-0.08,0.92
-0.96,-0.12,0.92
-0.92,-0.12,0.92
-0.92,-0.16,0.96
-0.92,-0.2,0.96
-0.88,-0.2,0.96
-0.84,-0.24,0.96
-0.84,-0.24,0.96
-0.8,-0.28,1
-0.8,-0.32,1
-0.76,-0.32,1
-0.76,-0.36,1
-0.72,-0.4,1
-0.72,-0.44,1
-0.68,-0.44,1
-0.64,-0.48,1.04
-0.6,-0.52,1.04
-0.6,-0.56,0.96
-0.56,-0.6,0.96
-0.52,-0.6,1
-0.48,-0.64,1
-0.44,-0.64,1
-0.44,-0.68,1
-0.4,-0.72,1
-0.36,-0.76,1
-0.32,-0.76,1
-0.28,-0.8,1
-0.24,-0.84,0.96
-0.2,-0.84,0.96
-0.2,-0.88,0.96
-0.16,-0.88,0.92
-0.12,-0.92,0.92
-0.08,-0.92,0.92
-0.04,-0.92,0.88
-0.04,-0.96,0.88
0,-0.96,0.84
0.04,-0.96,0.84
0.04,-1,0.8
0.08,-1,0.8
0.08,-1,0.8
0.12,-1,0.76
0.16,-1.04,0.76
0.16,-1.04,0.72
0.2,-1.04,0.72
0.24,-1.04,0.68
0.24,-1.04,0.68
0.28,-1.04,0.64
0.32,-1.04,0.6
0.32,-1.04,0.6
0.36,-1.04,0.56
0.4,-1.04,0.52
0.44,-1.04,0.52
0.44,-1.04,0.48
0.48,-1.04,0.44
0.52,-1.04,0.4
0.56,-1.04,0.36
0.56,-1.04,0.32
0.6,-1.04,0.32
0.6,-1.04,0.28
0.64,-1.04,0.24
0.68,-1,0.2
0.72,-1,0.16
0.72,-1,0.12
0.76,-0.96,0.12
0.76,-0.96,0.08
0.8,-0.96,0.04
0.8,-0.92,0
0.84,-0.92,-0.04
0.84,-0.88,-0.04
0.84,-0.88,-0.08
0.84,-0.88,-0.12
0.88,-0.84,-0.12
0.88,-0.84,-0.16
0.88,-0.8,-0.16
0.88,-0.8,-0.2
0.92,-0.8,-0.24
0.92,-0.76,-0.24
0.92,-0.76,-0.28
0.92,-0.72,-0.32
0.92,-0.68,-0.32
0.92,-0.68,-0.36
0.92,-0.64,-0.4
0.92,-0.6,-0.4
0.92,-0.6,-0.44
0.92,-0.56,-0.48
0.92,-0.52,-0.48
0.92,-0.48,-0.52
0.92,-0.48,-0.56
0.92,-0.44,-0.6
0.92,-0.4,-0.64
0.92,-0.36,-0.68
0.92,-0.32,-0.72
0.92,-0.28,-0.72
0.92,-0.28,-0.76
0.88,-0.24,-0.8
0.88,-0.2,-0.8
0.88,-0.16,-0.84
0.84,-0.12,-0.84
0.84,-0.08,-0.84
0.8,-0.04,-0.88
0.8,-0.04,-0.88
0.76,0,-0.92
0.76,0,-0.92
0.76,0.04,-0.92
0.72,0.08,-0.92
0.72,0.08,-0.96
0.68,0.12,-0.96
0.68,0.16,-0.96
0.64,0.16,-0.96
0.64,0.2,-0.96
0.6,0.24,-0.96
0.6,0.24,-1
0.56,0.28,-1
0.52,0.32,-1
0.52,0.36,-1
0.48,0.36,-1
0.44,0.4,-1
0.44,0.44,-1
0.4,0.44,-1
0.36,0.48,-1
0.32,0.52,-1
0.28,0.56,-0.96
0.24,0.6,-0.96
0.24,0.6,-0.96
0.2,0.64,-0.96
0.16,0.68,-0.96
0.12,0.72,-0.96
0.08,0.72,-0.96
0.04,0.76,-0.96
0.04,0.76,-0.92
0,0.8,-0.92
-0.04,0.8,-0.88
-0.08,0.8,-0.88
-0.12,0.84,-0.88
-0.12,0.84,-0.84
-0.16,0.84,-0.84
-0.16,0.88,-0.84
-0.2,0.88,-0.8
-0.24,0.88,-0.8
-0.28,0.88,-0.76
-0.28,0.92,-0.76
-0.32,0.92,-0.72
-0.32,0.92,-0.72
-0.36,0.92,-0.72
-0.4,0.92,-0.68
-0.4,0.92,-0.68
-0.44,0.96,-0.64
-0.48,0.96,-0.6
-0.48,0.96,-0.6
-0.52,0.96,-0.56
-0.56,0.96,-0.52
-0.6,0.96,-0.48
-0.64,1,-0.4
-0.64,1,-0.36
-0.68,0.96,-0.36
-0.72,0.96,-0.36
-0.76,0.96,-0.32
-0.76,0.96,-0.28
-0.8,0.92,-0.28
-0.84,0.92,-0.2
-0.88,0.92,-0.2
-0.88,0.92,-0.16
-0.92,0.88,-0.12
-0.92,0.88,-0.08
-0.96,0.88,-0.04
-0.96,0.84,-0.04
-0.96,0.84,0
-1,0.8,0.04
-1,0.8,0.08
-1,0.8,0.08
-1.04,0.76,0.12
-1.04,0.76,0.16
-1.04,0.72,0.16
-1.04,0.72,0.2
-1.04,0.68,0.24
-1.04,0.68,0.24
-1.08,0.64,0.28
-1.08,0.64,0.28
-1.08,0.6,0.32
-1.08,0.6,0.36
-1.08,0.56,0.36
-1.08,0.56,0.4
-1.08,0.52,0.44
-1.08,0.48,0.44
-1.08,0.44,0.48
-1.08,0.44,0.52
-1.08,0.4,0.56
-1.08,0.36,0.6
-1.08,0.32,0.6
-1.08,0.28,0.64
-1.08,0.24,0.68
-1.08,0.24,0.72
-1.08,0.2,0.76
-1.04,0.16,0.76
-1.04,0.12,0.8
-1.04,0.08,0.84
-1,0.04,0.84
-1,0,0.84
-1,0,0.88
-0.96,-0.04,0.88
-0.96,-0.08,0.92
-0.92,-0.12,0.92
-0.84,-0.12,0.92
-0.76,-0.16,0.96
-0.8,-0.2,0.96
-0.8,-0.2,0.96
-0.84,-0.24,0.96
-0.84,-0.28,0.96
-0.8,-0.28,0.96
-0.8,-0.32,1
-0.76,-0.32,1
-0.76,-0.36,1
-0.72,-0.4,1
-0.72,-0.4,1
-0.68,-0.44,1
-0.64,-0.48,1
-0.64,-0.52,1
-0.6,-0.52,1
-0.56,-0.56,1
-0.52,-0.6,1
-0.48,-0.64,0.96
-0.44,-0.64,1.04
-0.44,-0.64,1.08
-0.4,-0.72,1
-0.36,-0.76,1
-0.32,-0.76,1
-0.28,-0.8,1
-0.24,-0.84,0.96
-0.2,-0.84,0.96
-0.2,-0.88,0.96
-0.16,-0.88,0.92
-0.12,-0.92,0.92
-0.08,-0.92,0.88
-0.04,-0.96,0.88
-0.04,-0.96,0.88
0,-0.96,0.84
0,-0.96,0.84
0.04,-1,0.8
0.08,-1,0.8
0.08,-1,0.8
0.12,-1,0.76
0.12,-1.04,0.76
0.16,-1.04,0.72
0.2,-1.04,0.72
0.2,-1.04,0.68
0.24,-1.04,0.68
0.28,-1.04,0.64
0.32,-1.04,0.6
0.32,-1.04,0.6
0.36,-1.04,0.56
0.4,-1.04,0.52
0.44,-1.04,0.48
0.48,-1.04,0.48
0.48,-1.04,0.44
0.52,-1.04,0.4
0.56,-1.04,0.36
0.56,-1.04,0.32
0.6,-1.04,0.32
0.64,-1.04,0.28
0.68,-1.04,0.24
0.68,-1,0.2
0.72,-1,0.16
0.72,-1,0.12
0.76,-0.96,0.08
0.76,-0.96,0.08
0.8,-0.96,0.04
0.8,-0.92,0
0.84,-0.92,-0.04
0.84,-0.88,-0.04
0.84,-0.88,-0.08
0.84,-0.88,-0.12
0.88,-0.84,-0.12
0.88,-0.84,-0.16
0.92,-0.84,-0.2
0.92,-0.8,-0.2
0.88,-0.8,-0.24
0.88,-0.76,-0.24
0.92,-0.76,-0.28
0.92,-0.72,-0.32
0.92,-0.72,-0.32
0.92,-0.68,-0.36
0.92,-0.64,-0.4
0.92,-0.64,-0.44
0.92,-0.6,-0.44
0.92,-0.56,-0.48
0.92,-0.52,-0.52
0.92,-0.52,-0.52
0.92,-0.48,-0.56
0.92,-0.44,-0.6
0.92,-0.4,-0.64
0.92,-0.4,-0.68
0.92,-0.36,-0.68
0.92,-0.32,-0.72
0.92,-0.28,-0.76
0.88,-0.24,-0.76
0.88,-0.2,-0.8
0.88,-0.16,-0.8
0.84,-0.16,-0.84
0.84,-0.12,-0.84
0.8,-0.08,-0.84
0.8,-0.04,-0.88
0.8,-0.04,-0.88
0.76,0,-0.88
0.76,0,-0.92
0.72,0.04,-0.92
0.72,0.08,-0.92
0.68,0.08,-0.92
0.68,0.12,-0.96
0.64,0.16,-0.96
0.64,0.16,-0.96
0.6,0.2,-0.96
0.6,0.2,-0.96
0.6,0.24,-0.96
0.56,0.28,-0.96
0.56,0.28,-0.96
0.52,0.32,-1
0.48,0.36,-1
0.48,0.4,-1
0.44,0.4,-1
0.4,0.44,-1
0.36,0.48,-1
0.32,0.52,-1
0.32,0.52,-1
0.28,0.56,-1
0.24,0.6,-1
0.2,0.64,-0.96
0.16,0.64,-0.96
0.12,0.68,-0.96
0.12,0.72,-0.96
0.08,0.72,-0.96
0.04,0.76,-0.92
0,0.76,-0.92
0,0.76,-0.92
-0.04,0.8,-0.88
-0.08,0.8,-0.88
-0.12,0.8,-0.84
-0.12,0.84,-0.84
-0.16,0.84,-0.84
-0.2,0.84,-0.8
-0.2,0.88,-0.8
-0.24,0.88,-0.8
-0.24,0.88,-0.76
-0.28,0.88,-0.76
-0.36,0.88,-0.72
-0.32,0.92,-0.72
-0.32,0.92,-0.68
-0.4,0.92,-0.68
-0.4,0.92,-0.64
-0.4,0.92,-0.64
-0.48,0.92,-0.6
-0.48,0.92,-0.6
-0.52,0.92,-0.56
-0.56,0.92,-0.52
-0.56,0.92,-0.48
-0.6,0.96,-0.48
-0.64,0.92,-0.44
-0.68,0.92,-0.4
-0.68,0.92,-0.4
-0.72,0.92,-0.36
-0.76,0.92,-0.32
-0.8,0.92,-0.32
-0.8,0.92,-0.28
-0.84,0.92,-0.2
-0.84,0.88,-0.16
-0.88,0.88,-0.16
-0.88,0.88,-0.12
-0.92,0.84,-0.08
-0.92,0.84,-0.04
-0.96,0.84,0
-0.96,0.8,0
-0.96,0.8,0.04
-1,0.8,0.08
-1,0.76,0.08
-1,0.76,0.12
-1,0.72,0.16
-1.04,0.72,0.16
-1.04,0.72,0.2
-1.04,0.68,0.2
-1.04,0.68,0.24
-1.04,0.64,0.28
-1.08,0.64,0.28
-1.08,0.6,0.32
-1.04,0.6,0.32
-1.08,0.56,0.36
-1.08,0.56,0.4
-1.08,0.52,0.4
-1.08,0.52,0.44
-1.08,0.48,0.48
-1.08,0.44,0.52
-1.08,0.4,0.52
-1.08,0.4,0.56
-1.08,0.36,0.6
-1.08,0.32,0.6
-1.08,0.28,0.64
-1.08,0.24,0.68
-1.08,0.2,0.68
-1.04,0.2,0.72
-1.04,0.16,0.76
-1.04,0.12,0.8
-1.04,0.08,0.8
-1,0.04,0.8
-1,0,0.84
-0.96,0,0.84
-0.96,-0.04,0.88
-0.96,-0.08,0.88
-0.92,-0.12,0.92
-0.92,-0.12,0.92
-0.88,-0.16,0.92
-0.88,-0.16,0.92
-0.88,-0.2,0.96
-0.84,-0.24,0.96
-0.84,-0.24,0.96
-0.8,-0.28,0.96
-0.8,-0.28,0.96
-0.8,-0.32,1
-0.76,-0.36,1
-0.76,-0.36,1
-0.72,-0.4,1
-0.68,-0.44,1
-0.68,-0.44,1
-0.64,-0.48,1
-0.64,-0.52,1
-0.6,-0.52,1
-0.56,-0.56,1
-0.52,-0.6,1
-0.52,-0.6,1
-0.48,-0.64,1
-0.44,-0.68,1
-0.4,-0.68,1
-0.36,-0.72,1
-0.36,-0.8,0.92
-0.32,-0.84,0.88
-0.28,-0.8,0.96
-0.24,-0.84,0.96
-0.2,-0.84,0.96
-0.16,-0.88,0.92
-0.16,-0.88,0.92
-0.12,-0.92,0.92
-0.08,-0.92,0.88
-0.04,-0.92,0.88
-0.04,-0.96,0.84
0,-0.96,0.84
0.04,-0.96,0.8
0.04,-0.96,0.8
0.08,-1,0.8
0.08,-1,0.76
0.12,-1,0.76
0.16,-1,0.72
0.16,-1,0.72
0.2,-1,0.68
0.2,-1.04,0.68
0.24,-1.04,0.68
0.24,-1.04,0.64
0.28,-1.04,0.64
0.32,-1.04,0.6
0.36,-1.04,0.56
0.36,-1.04,0.56
0.4,-1.04,0.52
0.44,-1.04,0.48
0.48,-1.04,0.44
0.48,-1.04,0.44
0.52,-1.04,0.4
0.56,-1.04,0.36
0.6,-1.04,0.32
0.6,-1.04,0.32
0.64,-1.04,0.28
0.68,-1.04,0.24
0.68,-1,0.2
0.72,-1,0.16
0.72,-1,0.12
0.76,-0.96,0.12
0.76,-0.96,0.08
0.8,-0.96,0.04
0.8,-0.92,0
0.8,-0.92,0
0.84,-0.88,-0.04
0.84,-0.88,-0.08
0.84,-0.88,-0.08
0.84,-0.84,-0.12
0.88,-0.84,-0.16
0.88,-0.8,-0.16
0.88,-0.8,-0.2
0.88,-0.8,-0.2
0.88,-0.76,-0.24
0.88,-0.76,-0.28
0.92,-0.72,-0.28
0.92,-0.72,-0.32
0.88,-0.68,-0.36
0.92,-0.68,-0.36
0.92,-0.64,-0.4
0.92,-0.6,-0.44
0.92,-0.6,-0.44
0.92,-0.56,-0.48
0.92,-0.52,-0.52
0.92,-0.48,-0.56
0.92,-0.48,-0.6
0.92,-0.44,-0.6
0.92,-0.4,-0.64
0.92,-0.36,-0.68
0.92,-0.32,-0.68
0.92,-0.32,-0.72
0.88,-0.24,-0.76
0.88,-0.2,-0.8
0.88,-0.2,-0.8
0.88,-0.16,-0.8
0.84,-0.12,-0.84
0.84,-0.12,-0.84
0.8,-0.08,-0.84
0.8,-0.04,-0.88
0.76,-0.04,-0.88
0.76,0,-0.88
0.76,0.04,-0.92
0.72,0.04,-0.92
0.72,0.08,-0.92
0.72,0.12,-0.92
0.68,0.12,-0.92
0.64,0.16,-0.96
0.64,0.16,-0.96
0.64,0.2,-0.96
0.6,0.24,-0.96
0.56,0.24,-0.96
0.56,0.28,-0.96
0.52,0.32,-0.96
0.52,0.32,-1
0.48,0.36,-1
0.48,0.4,-1
0.44,0.4,-1
0.4,0.44,-1
0.36,0.48,-1
0.32,0.52,-1
0.32,0.52,-1
0.28,0.56,-1
0.24,0.6,-0.96
0.2,0.64,-0.96
0.16,0.64,-0.96
0.16,0.68,-0.96
0.12,0.72,-0.96
0.08,0.72,-0.96
0.04,0.76,-0.92
0,0.76,-0.92
0,0.76,-0.92
-0.04,0.8,-0.88
-0.08,0.8,-0.88
-0.12,0.84,-0.84
-0.12,0.84,-0.84
-0.16,0.84,-0.84
-0.2,0.84,-0.8
-0.2,0.88,-0.8
-0.24,0.88,-0.76
-0.24,0.88,-0.76
-0.28,0.88,-0.76
-0.32,0.88,-0.72
-0.32,0.92,-0.72
-0.36,0.92,-0.72
-0.36,0.92,-0.68
-0.4,0.92,-0.64
-0.44,0.92,-0.64
-0.44,0.92,-0.6
-0.4,0.92,-0.6
-0.44,0.96,-0.56
-0.52,0.96,-0.56
-0.56,0.96,-0.52
-0.6,0.96,-0.48
-0.64,0.96,-0.44
-0.64,0.92,-0.44
-0.68,0.96,-0.36
-0.72,0.96,-0.32
-0.76,0.96,-0.32
-0.76,0.92,-0.28
-0.8,0.92,-0.24
-0.84,0.92,-0.24
-0.84,0.92,-0.2
-0.88,0.88,-0.16
-0.88,0.88,-0.12
-0.92,0.84,-0.12
-0.92,0.84,-0.04
-0.96,0.84,0
-0.96,0.8,0
-0.96,0.8,0.04
-0.96,0.8,0.08
-0.96,0.76,0.08
-1,0.76,0.12
-1,0.72,0.12
-1.04,0.72,0.16
-1.04,0.72,0.2
-1.04,0.68,0.2
-1.04,0.68,0.24
-1.04,0.64,0.28
-1.08,0.64,0.28
-1.08,0.64,0.32
-1.08,0.6,0.32
-1.08,0.6,0.36
-1.08,0.56,0.36
-1.08,0.52,0.4
-1.08,0.52,0.44
-1.08,0.48,0.48
-1.08,0.44,0.48
-1.08,0.44,0.52
-1.08,0.4,0.56
-1.08,0.36,0.56
-1.08,0.32,0.6
-1.08,0.28,0.64
-1.08,0.28,0.64
-1.08,0.24,0.68
-1.08,0.2,0.72
-1.04,0.16,0.76
-1.04,0.12,0.76
-1.04,0.08,0.8
-1,0.08,0.8
-1,0.04,0.84
-1,0,0.84
-0.96,-0.04,0.88
-0.96,-0.08,0.88
-0.92,-0.08,0.88
-0.92,-0.12,0.92
-0.92,-0.16,0.92
-0.88,-0.16,0.92
-0.88,-0.2,0.92
-0.84,-0.24,0.96
-0.84,-0.24,0.96
-0.84,-0.28,0.96
-0.8,-0.28,0.96
-0.8,-0.32,0.96
-0.76,-0.36,0.96
-0.76,-0.36,1
-0.72,-0.4,1
-0.72,-0.4,1
-0.68,-0.44,1
-0.68,-0.48,1
-0.64,-0.48,1
-0.56,-0.52,1
-0.52,-0.56,1
-0.52,-0.56,1
-0.52,-0.6,1
-0.48,-0.64,1
-0.44,-0.68,1
-0.44,-0.68,1
-0.4,-0.72,1
-0.36,-0.76,1
-0.32,-0.76,1
-0.28,-0.8,0.96
-0.24,-0.84,0.96
-0.24,-0.84,0.96
-0.2,-0.92,0.88
-0.16,-0.96,0.8
-0.12,-0.92,0.84
-0.08,-0.92,0.88
-0.04,-0.92,0.88
-0.04,-0.96,0.84
0,-0.96,0.84
0,-0.96,0.8
0.04,-0.96,0.8
0.08,-1,0.8
0.08,-1,0.76
0.12,-1,0.76
0.12,-1,0.72
0.16,-1,0.72
0.16,-1,0.68
0.2,-1.04,0.68
0.24,-1.04,0.68
0.24,-1.04,0.64
0.28,-1.04,0.64
0.32,-1.04,0.6
0.32,-1.04,0.56
0.36,-1.04,0.56
0.4,-1.04,0.52
0.4,-1.04,0.48
0.44,-1.04,0.48
0.48,-1.04,0.44
0.52,-1.04,0.4
0.52,-1.04,0.36
0.56,-1.04,0.32
0.6,-1.04,0.32
0.64,-1.04,0.28
0.64,-1,0.24
0.68,-1,0.2
0.68,-1,0.16
0.72,-1,0.12
0.72,-0.96,0.12
0.76,-0.96,0.08
0.76,-0.92,0.04
0.8,-0.92,0
0.8,-0.92,0
0.8,-0.88,-0.04
0.84,-0.88,-0.08
0.84,-0.88,-0.08
0.84,-0.84,-0.12
0.84,-0.84,-0.16
0.88,-0.8,-0.16
0.88,-0.8,-0.2
0.88,-0.76,-0.2
0.88,-0.76,-0.24
0.88,-0.76,-0.28
0.88,-0.72,-0.28
0.92,-0.72,-0.32
0.92,-0.68,-0.32
0.92,-0.68,-0.36
0.92,-0.64,-0.4
0.92,-0.64,-0.4
1,-0.6,-0.44
1.04,-0.56,-0.48
0.96,-0.56,-0.52
0.92,-0.52,-0.52
0.92,-0.48,-0.56
0.92,-0.44,-0.6
0.92,-0.44,-0.64
0.92,-0.4,-0.64
0.92,-0.36,-0.68
0.92,-0.32,-0.72
0.92,-0.28,-0.72
0.88,-0.24,-0.76
0.88,-0.2,-0.8
0.84,-0.16,-0.8
0.84,-0.16,-0.84
0.84,-0.12,-0.84
0.84,-0.12,-0.88
0.8,-0.08,-0.88
0.8,-0.04,-0.88
0.76,0,-0.88
0.76,0.04,-0.92
0.72,0.04,-0.92
0.72,0.08,-0.92
0.68,0.08,-0.92
0.68,0.12,-0.92
0.68,0.16,-0.96
0.64,0.16,-0.96
0.64,0.2,-0.96
0.6,0.24,-0.96
0.6,0.24,-0.96
0.56,0.28,-0.96
0.56,0.28,-0.96
0.52,0.32,-0.96
0.52,0.36,-1
0.48,0.36,-1
0.44,0.4,-1
0.4,0.44,-1
0.4,0.48,-1
0.36,0.48,-1
0.32,0.52,-0.96
0.28,0.56,-0.96
0.24,0.6,-0.96
0.24,0.6,-0.96
0.2,0.64,-0.96
0.16,0.68,-0.96
0.12,0.68,-0.96
0.08,0.72,-0.96
0.04,0.76,-0.92
0.04,0.76,-0.92
0,0.76,-0.92
-0.04,0.8,-0.88
-0.08,0.8,-0.88
-0.12,0.84,-0.84
-0.12,0.84,-0.84
-0.16,0.84,-0.84
-0.2,0.84,-0.8
-0.2,0.88,-0.8
-0.24,0.88,-0.76
-0.24,0.88,-0.76
-0.28,0.88,-0.76
-0.28,0.88,-0.72
-0.32,0.92,-0.72
-0.36,0.92,-0.68
-0.36,0.92,-0.68
-0.4,0.92,-0.68
-0.4,0.92,-0.64
-0.44,0.92,-0.64
-0.48,0.92,-0.6
-0.48,0.92,-0.56
-0.52,0.96,-0.56
-0.56,0.96,-0.52
-0.6,0.96,-0.48
-0.52,0.96,-0.44
-0.48,0.96,-0.44
-0.6,0.92,-0.4
-0.68,0.92,-0.36
-0.72,0.92,-0.32
-0.76,0.92,-0.28
-0.8,0.92,-0.28
-0.8,0.92,-0.24
-0.84,0.92,-0.2
-0.88,0.88,-0.16
-0.88,0.88,-0.12
-0.88,0.88,-0.08
-0.92,0.84,-0.08
-0.92,0.84,-0.04
-0.96,0.8,0
-0.96,0.8,0.04
-1,0.8,0.08
-1,0.8,0.08
-1,0.76,0.12
-1,0.76,0.12
-1.04,0.72,0.16
-1.04,0.72,0.16
-1.04,0.72,0.2
-1.04,0.68,0.24
-1.04,0.68,0.24
-1.08,0.64,0.28
-1.08,0.64,0.28
-1.08,0.6,0.32
-1.08,0.6,0.36
-1.08,0.56,0.36
-1.08,0.56,0.4
-1.08,0.52,0.44
-1.08,0.48,0.44
-1.08,0.48,0.48
-1.08,0.44,0.52
-1.08,0.4,0.52
-1.08,0.36,0.56
-1.08,0.36,0.6
-1.08,0.32,0.64
-1.08,0.28,0.64
-1.08,0.24,0.68
-1.04,0.2,0.72
-1.04,0.16,0.72
-1.04,0.12,0.76
-1.04,0.12,0.8
-1,0.08,0.8
-1,0.04,0.84
-1,0,0.84
-0.96,-0.04,0.84
-0.96,-0.08,0.88
-0.92,-0.08,0.88
-0.92,-0.12,0.92
-0.92,-0.16,0.92
-0.88,-0.16,0.92
-0.88,-0.2,0.92
-0.84,-0.2,0.92
-0.84,-0.24,0.96
-0.84,-0.24,0.96
-0.8,-0.28,0.96
-0.8,-0.32,0.96
-0.76,-0.32,0.96
-0.76,-0.36,1
-0.76,-0.36,1
-0.72,-0.4,1
-0.72,-0.44,1
-0.68,-0.44,1
-0.64,-0.48,1
-0.64,-0.52,1
-0.6,-0.52,1
-0.56,-0.56,1
-0.52,-0.6,1
-0.52,-0.6,1
-0.36,-0.64,1
-0.36,-0.68,1
-0.44,-0.72,1
-0.4,-0.72,1
-0.36,-0.76,1
-0.32,-0.8,0.96
-0.28,-0.8,0.96
-0.2,-0.84,0.96
-0.2,-0.88,0.96
-0.16,-0.88,0.92
-0.12,-0.92,0.92
-0.12,-0.92,0.88
-0.08,-1,0.8
-0.04,-1,0.76
-0.04,-1,0.8
0,-0.96,0.84
0.04,-0.96,0.8
0.04,-1,0.8
0.08,-1,0.8
0.08,-1,0.76
0.12,-1,0.76
0.16,-1,0.72
0.16,-1,0.72
0.2,-1.04,0.68
0.2,-1.04,0.68
0.24,-1.04,0.64
0.28,-1.04,0.64
0.28,-1.04,0.6
0.32,-1.04,0.6
0.36,-1.04,0.56
0.4,-1.04,0.52
0.4,-1.04,0.52
0.44,-1.04,0.48
0.48,-1.04,0.44
0.48,-1.04,0.4
0.52,-1.04,0.36
0.56,-1.04,0.36
0.6,-1.04,0.32
0.6,-1.04,0.28
0.64,-1,0.24
0.68,-1,0.2
0.68,-1,0.2
0.72,-1,0.16
0.72,-0.96,0.12
0.76,-0.96,0.08
0.76,-0.96,0.04
0.8,-0.92,0.04
0.8,-0.92,0
0.8,-0.88,-0.04
0.84,-0.88,-0.04
0.84,-0.88,-0.08
0.84,-0.84,-0.12
0.84,-0.84,-0.12
0.88,-0.8,-0.16
0.88,-0.8,-0.2
0.88,-0.8,-0.2
0.88,-0.76,-0.24
0.88,-0.76,-0.24
0.92,-0.72,-0.28
0.92,-0.72,-0.32
0.92,-0.68,-0.32
0.92,-0.68,-0.36
0.92,-0.64,-0.4
0.92,-0.64,-0.4
0.92,-0.6,-0.44
0.92,-0.56,-0.48
0.92,-0.56,-0.48
0.92,-0.52,-0.52
0.92,-0.48,-0.56
0.92,-0.44,-0.56
0.92,-0.44,-0.6
0.92,-0.4,-0.64
0.88,-0.36,-0.68
0.88,-0.32,-0.68
0.88,-0.28,-0.72
0.88,-0.24,-0.76
0.88,-0.24,-0.76
0.88,-0.2,-0.8
0.84,-0.16,-0.8
0.84,-0.12,-0.84
0.8,-0.08,-0.84
0.8,-0.08,-0.84
0.8,-0.04,-0.88
0.76,0.04,-0.88
0.76,0.04,-0.88
0.72,0.04,-0.88
0.72,0.08,-0.92
0.72,0.08,-0.92
0.68,0.12,-0.92
0.68,0.16,-0.96
